sent_id,paper_id,year,cluster,cluster_name
0,2020.emnlp-main.1,2020,78,"argument, arguments, argumentation"
1,2020.emnlp-main.1,2020,78,"argument, arguments, argumentation"
2,2020.emnlp-main.1,2020,78,"argument, arguments, argumentation"
3,2020.emnlp-main.1,2020,78,"argument, arguments, argumentation"
4,2020.emnlp-main.1,2020,78,"argument, arguments, argumentation"
5,2020.emnlp-main.2,2020,78,"argument, arguments, argumentation"
6,2020.emnlp-main.2,2020,78,"argument, arguments, argumentation"
7,2020.emnlp-main.2,2020,78,"argument, arguments, argumentation"
8,2020.emnlp-main.2,2020,78,"argument, arguments, argumentation"
9,2020.emnlp-main.2,2020,-1,noise
10,2020.emnlp-main.2,2020,78,"argument, arguments, argumentation"
11,2020.emnlp-main.3,2020,-1,noise
12,2020.emnlp-main.3,2020,20,"summarization, summaries, summary"
13,2020.emnlp-main.3,2020,78,"argument, arguments, argumentation"
14,2020.emnlp-main.3,2020,-1,noise
15,2020.emnlp-main.3,2020,78,"argument, arguments, argumentation"
16,2020.emnlp-main.3,2020,78,"argument, arguments, argumentation"
17,2020.emnlp-main.3,2020,78,"argument, arguments, argumentation"
18,2020.emnlp-main.4,2020,-1,noise
19,2020.emnlp-main.4,2020,137,"stance, detection, targets"
20,2020.emnlp-main.4,2020,100,"topic, topics, document"
21,2020.emnlp-main.4,2020,78,"argument, arguments, argumentation"
22,2020.emnlp-main.4,2020,-1,noise
23,2020.emnlp-main.4,2020,-1,noise
24,2020.emnlp-main.4,2020,78,"argument, arguments, argumentation"
25,2020.emnlp-main.5,2020,93,"translation, machine, mt"
26,2020.emnlp-main.5,2020,-1,noise
27,2020.emnlp-main.5,2020,155,"human, evaluation, metrics"
28,2020.emnlp-main.5,2020,93,"translation, machine, mt"
29,2020.emnlp-main.5,2020,93,"translation, machine, mt"
30,2020.emnlp-main.5,2020,121,"embeddings, embedding, word"
31,2020.emnlp-main.5,2020,-1,noise
32,2020.emnlp-main.6,2020,93,"translation, machine, mt"
33,2020.emnlp-main.6,2020,93,"translation, machine, mt"
34,2020.emnlp-main.6,2020,93,"translation, machine, mt"
35,2020.emnlp-main.6,2020,93,"translation, machine, mt"
36,2020.emnlp-main.6,2020,93,"translation, machine, mt"
37,2020.emnlp-main.6,2020,186,"future, research, provide"
38,2020.emnlp-main.6,2020,186,"future, research, provide"
39,2020.emnlp-main.7,2020,93,"translation, machine, mt"
40,2020.emnlp-main.7,2020,1,"paraphrase, paraphrases, paraphrasing"
41,2020.emnlp-main.7,2020,93,"translation, machine, mt"
42,2020.emnlp-main.7,2020,93,"translation, machine, mt"
43,2020.emnlp-main.8,2020,1,"paraphrase, paraphrases, paraphrasing"
44,2020.emnlp-main.8,2020,1,"paraphrase, paraphrases, paraphrasing"
45,2020.emnlp-main.8,2020,1,"paraphrase, paraphrases, paraphrasing"
46,2020.emnlp-main.8,2020,-1,noise
47,2020.emnlp-main.8,2020,-1,noise
48,2020.emnlp-main.8,2020,93,"translation, machine, mt"
49,2020.emnlp-main.9,2020,122,"reasoning, logical, language"
50,2020.emnlp-main.9,2020,122,"reasoning, logical, language"
51,2020.emnlp-main.9,2020,122,"reasoning, logical, language"
52,2020.emnlp-main.9,2020,122,"reasoning, logical, language"
53,2020.emnlp-main.9,2020,-1,noise
54,2020.emnlp-main.9,2020,-1,noise
55,2020.emnlp-main.9,2020,-1,noise
56,2020.emnlp-main.9,2020,62,"qa, vqa, kbqa"
57,2020.emnlp-main.9,2020,-1,noise
58,2020.emnlp-main.10,2020,71,"question, answering, questions"
59,2020.emnlp-main.10,2020,108,"explanations, explanation, rationales"
60,2020.emnlp-main.10,2020,-1,noise
61,2020.emnlp-main.10,2020,108,"explanations, explanation, rationales"
62,2020.emnlp-main.10,2020,-1,noise
63,2020.emnlp-main.10,2020,108,"explanations, explanation, rationales"
64,2020.emnlp-main.10,2020,122,"reasoning, logical, language"
65,2020.emnlp-main.10,2020,-1,noise
66,2020.emnlp-main.11,2020,71,"question, answering, questions"
67,2020.emnlp-main.11,2020,180,"label, labels, labeled"
68,2020.emnlp-main.11,2020,158,"annotation, annotators, annotator"
69,2020.emnlp-main.11,2020,53,"knowledge, graph, graphs"
70,2020.emnlp-main.11,2020,-1,noise
71,2020.emnlp-main.11,2020,71,"question, answering, questions"
72,2020.emnlp-main.12,2020,151,"language, nlp, pre"
73,2020.emnlp-main.12,2020,-1,noise
74,2020.emnlp-main.12,2020,-1,noise
75,2020.emnlp-main.12,2020,147,"nlp, nlg, nli"
76,2020.emnlp-main.12,2020,71,"question, answering, questions"
77,2020.emnlp-main.12,2020,-1,noise
78,2020.emnlp-main.13,2020,-1,noise
79,2020.emnlp-main.13,2020,-1,noise
80,2020.emnlp-main.13,2020,-1,noise
81,2020.emnlp-main.13,2020,-1,noise
82,2020.emnlp-main.13,2020,-1,noise
83,2020.emnlp-main.13,2020,-1,noise
84,2020.emnlp-main.13,2020,-1,noise
85,2020.emnlp-main.13,2020,-1,noise
86,2020.emnlp-main.14,2020,-1,noise
87,2020.emnlp-main.14,2020,186,"future, research, provide"
88,2020.emnlp-main.14,2020,-1,noise
89,2020.emnlp-main.14,2020,-1,noise
90,2020.emnlp-main.14,2020,-1,noise
91,2020.emnlp-main.14,2020,-1,noise
92,2020.emnlp-main.14,2020,-1,noise
93,2020.emnlp-main.14,2020,-1,noise
94,2020.emnlp-main.14,2020,-1,noise
95,2020.emnlp-main.14,2020,-1,noise
96,2020.emnlp-main.14,2020,-1,noise
97,2020.emnlp-main.14,2020,-1,noise
98,2020.emnlp-main.15,2020,-1,noise
99,2020.emnlp-main.15,2020,-1,noise
100,2020.emnlp-main.15,2020,126,"segmentation, morphological, inflection"
101,2020.emnlp-main.15,2020,121,"embeddings, embedding, word"
102,2020.emnlp-main.15,2020,126,"segmentation, morphological, inflection"
103,2020.emnlp-main.15,2020,-1,noise
104,2020.emnlp-main.16,2020,151,"language, nlp, pre"
105,2020.emnlp-main.16,2020,-1,noise
106,2020.emnlp-main.16,2020,-1,noise
107,2020.emnlp-main.16,2020,149,"language, llms, pre"
108,2020.emnlp-main.16,2020,-1,noise
109,2020.emnlp-main.16,2020,-1,noise
110,2020.emnlp-main.16,2020,-1,noise
111,2020.emnlp-main.17,2020,-1,noise
112,2020.emnlp-main.17,2020,106,"attention, heads, head"
113,2020.emnlp-main.17,2020,106,"attention, heads, head"
114,2020.emnlp-main.17,2020,106,"attention, heads, head"
115,2020.emnlp-main.17,2020,106,"attention, heads, head"
116,2020.emnlp-main.17,2020,106,"attention, heads, head"
117,2020.emnlp-main.17,2020,106,"attention, heads, head"
118,2020.emnlp-main.18,2020,128,"parsing, amr, parsers"
119,2020.emnlp-main.18,2020,-1,noise
120,2020.emnlp-main.18,2020,-1,noise
121,2020.emnlp-main.18,2020,111,"transformer, language, transformers"
