claim_id,paper_id,year,atomic_claim,claim_index,extractor_model,prompt_hash,run_id,created_at
clm_385e808ac27d9be9,2020.aacl-srw.8,2020,A tendency-based collaborative filtering approach models user and item tendency for score prediction.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_859d7c728ce5c5b8,2020.aacl-srw.8,2020,The approach incorporates text review analysis with respect to ratings.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_56f43ed0f8bbdf72,2020.aacl-srw.8,2020,The approach unbiases review rating predictions by accounting for personal user bias preferences.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_0d92d25d785bd19a,2020.aacl-main.27,2020,A lightweight convolutional neural network rates AMR quality by converting AMR graphs into images.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_1f062bc1d968728c,2020.aacl-main.27,2020,The CNN rates AMR quality more accurately than strong baselines across multiple quality dimensions.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_d36a237755d8dc74,2020.aacl-main.27,2020,The CNN is computationally efficient and reduces energy consumption compared to alternative methods.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_a1dcf4e9704439eb,2020.aacl-srw.18,2020,A novel unsupervised approach combines lexical rule-based methods with coreference resolution for aspect extraction.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_c34dbc39255a4853,2020.aacl-srw.18,2020,The approach improves aspect extraction accuracy by recognizing and removing coreferring aspects.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_5a3e34538a0958de,2020.aacl-srw.18,2020,Experimental evaluation on two benchmark datasets shows the approach outperforms baseline methods in extracting coherent aspects.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_e034dc83dd484c19,2020.aacl-main.2,2020,Two knowledge-transfer approaches from monolingual pretrained models to multilingual models improve zero-shot cross-lingual classification.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_775c327fa36e8c04,2020.aacl-main.2,2020,The knowledge-transfer approaches achieve higher performance than vanilla multilingual fine-tuning on two cross-lingual classification benchmarks.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_deaeb7b701648512,2020.aacl-main.34,2020,A neural contextual utterance encoder with three types of self-attention mechanisms is introduced.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_cf27fe9e8e796fb5,2020.aacl-main.34,2020,The encoder is trained using siamese and triplet energy-based meta-architectures.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_a81eeff6968289df,2020.aacl-main.34,2020,The resulting system outperforms multiple energy-based and non-energy-based baselines on the AMI corpus.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_7d1349e2680b2c14,2020.aacl-main.64,2020,An entity linking model jointly learns mention detection and entity disambiguation.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_2886badcd60fa132,2020.aacl-main.64,2020,The model applies task-specific heads on top of shared BERT contextualized embeddings.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_10f8448126227493,2020.aacl-main.64,2020,The model achieves state-of-the-art performance on a standard entity linking dataset.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
