claim_id,paper_id,year,cluster,cluster_name
0,2021.emnlp-main.602,2021,56,"attention, training, pruning"
1,2021.emnlp-main.602,2021,78,"language, large, tuning"
2,2021.emnlp-main.602,2021,56,"attention, training, pruning"
3,2020.emnlp-main.593,2020,53,"graph, knowledge, completion"
4,2020.emnlp-main.593,2020,53,"graph, knowledge, completion"
5,2020.emnlp-main.593,2020,53,"graph, knowledge, completion"
6,2023.emnlp-main.50,2023,6,"visual, vision, image"
7,2023.emnlp-main.50,2023,-1,noise
8,2023.emnlp-main.50,2023,56,"attention, training, pruning"
9,2023.emnlp-main.50,2023,11,"dialogue, dialog, dialogues"
10,2025.emnlp-main.927,2025,-1,noise
11,2025.emnlp-main.927,2025,-1,noise
12,2025.emnlp-main.927,2025,73,"reasoning, language, thought"
13,2025.emnlp-main.927,2025,72,"reasoning, math, problems"
14,2020.emnlp-main.490,2020,-1,noise
15,2020.emnlp-main.490,2020,-1,noise
16,2020.emnlp-main.747,2020,23,"explanations, explanation, rationales"
17,2020.emnlp-main.747,2020,23,"explanations, explanation, rationales"
18,2020.emnlp-main.747,2020,23,"explanations, explanation, rationales"
19,2020.emnlp-main.747,2020,23,"explanations, explanation, rationales"
20,2022.emnlp-main.341,2022,33,"generation, text, language"
21,2022.emnlp-main.341,2022,-1,noise
22,2022.emnlp-main.341,2022,53,"graph, knowledge, completion"
23,2022.emnlp-main.341,2022,15,"shot, zero, learning"
24,2023.emnlp-main.862,2023,1,"aspect, sentiment, opinion"
25,2024.emnlp-main.12,2024,-1,noise
26,2024.emnlp-main.12,2024,-1,noise
27,2024.emnlp-main.12,2024,72,"reasoning, math, problems"
28,2024.emnlp-main.12,2024,-1,noise
29,2020.emnlp-main.320,2020,-1,noise
30,2020.emnlp-main.320,2020,-1,noise
31,2020.emnlp-main.472,2020,-1,noise
32,2020.emnlp-main.472,2020,-1,noise
33,2020.emnlp-main.472,2020,-1,noise
34,2020.emnlp-main.472,2020,48,"arabic, varieties, gpt"
35,2020.emnlp-main.393,2020,-1,noise
36,2020.emnlp-main.393,2020,52,"nli, nlp, examples"
37,2020.emnlp-main.393,2020,56,"attention, training, pruning"
38,2021.emnlp-main.691,2021,9,"clause, definition, contract"
39,2021.emnlp-main.691,2021,9,"clause, definition, contract"
40,2021.emnlp-main.691,2021,9,"clause, definition, contract"
41,2025.emnlp-main.603,2025,5,"molecular, molecule, molecules"
42,2025.emnlp-main.603,2025,5,"molecular, molecule, molecules"
43,2025.emnlp-main.603,2025,56,"attention, training, pruning"
44,2025.emnlp-main.603,2025,5,"molecular, molecule, molecules"
45,2025.emnlp-main.59,2025,6,"visual, vision, image"
46,2025.emnlp-main.59,2025,6,"visual, vision, image"
47,2025.emnlp-main.59,2025,6,"visual, vision, image"
48,2021.emnlp-main.713,2021,-1,noise
49,2021.emnlp-main.713,2021,-1,noise
50,2021.emnlp-main.713,2021,-1,noise
51,2021.emnlp-main.713,2021,-1,noise
52,2023.emnlp-main.1037,2023,34,"simplification, text, edit"
53,2023.emnlp-main.1037,2023,25,"medical, clinical, radiology"
54,2023.emnlp-main.1037,2023,34,"simplification, text, edit"
55,2024.emnlp-main.386,2024,12,"style, transfer, text"
56,2024.emnlp-main.386,2024,12,"style, transfer, text"
57,2023.emnlp-main.546,2023,56,"attention, training, pruning"
58,2023.emnlp-main.546,2023,47,"prompt, prompts, tuning"
59,2023.emnlp-main.546,2023,56,"attention, training, pruning"
60,2022.emnlp-main.703,2022,64,"commonsense, reasoning, knowledge"
61,2022.emnlp-main.703,2022,8,"adversarial, attacks, attack"
62,2022.emnlp-main.703,2022,78,"language, large, tuning"
63,2022.emnlp-main.744,2022,35,"hate, offensive, speech"
64,2022.emnlp-main.744,2022,35,"hate, offensive, speech"
65,2022.emnlp-main.744,2022,35,"hate, offensive, speech"
66,2022.emnlp-main.19,2022,6,"visual, vision, image"
67,2022.emnlp-main.19,2022,6,"visual, vision, image"
68,2024.emnlp-main.7,2024,46,"agent, agents, action"
69,2021.emnlp-main.651,2021,8,"adversarial, attacks, attack"
70,2021.emnlp-main.651,2021,8,"adversarial, attacks, attack"
71,2021.emnlp-main.651,2021,8,"adversarial, attacks, attack"
72,2020.emnlp-main.189,2020,-1,noise
73,2020.emnlp-main.189,2020,-1,noise
74,2020.emnlp-main.189,2020,-1,noise
75,2020.emnlp-main.189,2020,15,"shot, zero, learning"
76,2023.emnlp-main.501,2023,-1,noise
77,2023.emnlp-main.501,2023,-1,noise
78,2021.emnlp-main.576,2021,6,"visual, vision, image"
79,2021.emnlp-main.576,2021,6,"visual, vision, image"
80,2021.emnlp-main.576,2021,6,"visual, vision, image"
81,2021.emnlp-main.17,2021,-1,noise
82,2021.emnlp-main.17,2021,56,"attention, training, pruning"
83,2021.emnlp-main.17,2021,-1,noise
84,2021.emnlp-main.17,2021,-1,noise
85,2021.emnlp-main.17,2021,58,"relation, extraction, document"
86,2025.emnlp-main.1317,2025,4,"hallucination, hallucinations, detection"
87,2025.emnlp-main.1317,2025,4,"hallucination, hallucinations, detection"
88,2025.emnlp-main.1317,2025,4,"hallucination, hallucinations, detection"
89,2025.emnlp-main.1317,2025,6,"visual, vision, image"
90,2025.emnlp-main.1038,2025,72,"reasoning, math, problems"
91,2025.emnlp-main.1038,2025,10,"event, extraction, temporal"
92,2025.emnlp-main.1038,2025,-1,noise
93,2025.emnlp-main.1038,2025,-1,noise
